Canada FSA Climate Footprint Database,,,,,,,,,,,,,,,,,,,,,,,,
"1,650 Forward Sortation Areas | Set A = YVR + SFO (Pacific) | Set B = YYZ + JFK (Atlantic)",,,,,,,,,,,,,,,,,,,,,,,,
FSA,Name / Area,Province / Territory,Lat,Lon,Nearest Major Airport,Airport IATA,Airport SL km,"Dist Set A km
(YVR+SFO)","Dist Set B km
(YYZ+JFK)",Further Set,D1 Name,D1 SL km,D1 Driving km,D1 Driving hrs,D2 Name,D2 SL km,D2 Driving km,D2 Driving hrs,CO2e CDG kg,CO2e LHR kg,CO2e NRT kg,"Set Airport 1
(IATA)",CO2e Set1 kg,CO2e Set2 kg
G5N,Rimouski Southwest,Quebec,48.3668,-68.4659,Baie-Comeau Airport,YBC,87.3,"4,183.6",980.9,A,Quebec City QC (Old City),268.5,301.1,4.3824,Charlottetown PE,466.6,650.06,9.0213,859.3,918.8,"2,200.3",YVR,817.6,941.7
G5R,Rivière-du-Loup,Quebec,47.8304,-69.5342,Quebec City Jean Lesage Intl,YQB,181.7,"4,121.5",887.7,A,Quebec City QC (Old City),169.4,186.96,2.8153,Summerside PE,463.0,694.02,8.6868,965.5,859.4,"2,846.2",YVR,671.1,956.3
G5T,Degelis,Quebec,47.5473,-68.6431,Quebec City Jean Lesage Intl,YQB,224.2,"4,193.1",912.7,A,Quebec City QC (Old City),210.3,267.03,3.9611,Lunenburg NS,485.9,812.47,9.6881,965.5,859.4,"2,846.2",YVR,671.1,956.3
G5V,Montmagny,Quebec,46.9804,-70.5549,Quebec City Jean Lesage Intl,YQB,67.1,"4,070.8",774.2,A,Quebec City QC (Old City),53.0,60.69,1.2306,Gaspé QC,497.2,616.25,8.8314,965.5,859.4,"2,846.2",YVR,671.1,956.3
G5X,Beauceville,Quebec,46.2179,-70.7787,Montréal-Trudeau Intl,YUL,244.0,"4,076.0",708.2,A,Quebec City QC (Old City),74.0,91.67,1.2947,Kingston ON,498.4,603.29,7.6741,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G5Y,Saint-Georges Central,Quebec,46.1326,-70.6375,Quebec City Jean Lesage Intl,YQB,93.3,"4,088.9",709.6,A,Quebec City QC (Old City),87.5,104.54,1.4321,Thousand Islands ON,453.4,569.94,7.4596,965.5,859.4,"2,846.2",YVR,671.1,956.3
G5Z,Saint-Georges Southeast,Quebec,46.0642,-70.7118,Montréal-Trudeau Intl,YUL,244.0,"4,085.4",701.1,A,Quebec City QC (Old City),91.6,115.27,1.6947,Kingston ON,496.4,580.6,7.8178,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G6A,Saint-Georges Northwest,Quebec,46.1437,-70.6817,Montréal-Trudeau Intl,YUL,248.6,"4,085.3",708.1,A,Quebec City QC (Old City),84.7,103.65,1.4621,Moncton NB,455.0,695.48,8.8125,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G6B,Lac-Megantic,Quebec,45.5834,-70.8823,Montréal-Trudeau Intl,YUL,223.0,"4,087.3",660.3,A,Quebec City QC (Old City),139.1,183.55,2.6724,Moncton NB,476.1,671.41,9.1989,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G6C,Pintendre,Quebec,46.7701,-71.0906,Quebec City Jean Lesage Intl,YQB,23.2,"4,037.7",732.9,A,Quebec City QC (Old City),10.2,14.23,0.7278,Moncton NB,489.6,737.38,9.1059,965.5,859.4,"2,846.2",YVR,671.1,956.3
G6E,Sainte-Marie,Quebec,46.4340,-71.0117,Montréal-Trudeau Intl,YUL,236.6,"4,052.8",711.9,A,Quebec City QC (Old City),44.8,58.43,0.8511,Kingston ON,492.9,570.05,7.2305,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G6G,Thetford Mines,Quebec,46.0937,-71.3054,Montréal-Trudeau Intl,YUL,201.2,"4,041.0",673.1,A,Quebec City QC (Old City),80.4,116.2,1.8243,Fundy NP NB,489.8,723.37,9.7133,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G6H,Black Lake,Quebec,46.0700,-71.4393,Montréal-Trudeau Intl,YUL,190.5,"4,031.9",664.9,A,Quebec City QC (Old City),84.6,133.75,1.9973,Fundy NP NB,499.9,737.38,10.0315,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G6J,Saint-Etienne-De-Lauzon,Quebec,46.6358,-71.3098,Montréal-Trudeau Intl,YUL,228.0,"4,025.4",712.6,A,Quebec City QC (Old City),21.3,31.1,0.5583,Fundy NP NB,498.1,758.32,9.5585,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G6K,Saint-Redempteur,Quebec,46.6880,-71.3028,Montréal-Trudeau Intl,YUL,231.7,"4,024.5",716.9,A,Quebec City QC (Old City),15.7,21.35,0.4189,Fundy NP NB,498.7,748.7,9.4147,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G6L,Plessisville,Quebec,46.2186,-71.7620,Montréal-Trudeau Intl,YUL,174.4,"4,003.9",660.5,A,Quebec City QC (Old City),78.6,98.17,1.3761,Bathurst NB,489.4,635.98,8.7622,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G6P,Victoriaville Central,Quebec,46.0529,-71.9477,Montréal-Trudeau Intl,YUL,153.4,"3,995.0",639.7,A,Quebec City QC (Old City),101.8,122.4,1.7489,Algonquin Park ON,499.5,613.95,8.5385,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G6R,Victoriaville South,Quebec,46.0160,-71.9561,Montréal-Trudeau Intl,YUL,151.2,"3,995.4",636.6,A,Quebec City QC (Old City),105.6,127.89,1.8448,Algonquin Park ON,498.6,618.85,8.5968,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G6S,Victoriaville East,Quebec,46.0264,-71.8719,Montréal-Trudeau Intl,YUL,157.6,"4,001.3",641.3,A,Quebec City QC (Old City),101.3,128.88,1.9647,Miramichi NB,464.1,670.11,9.9777,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G6T,Victoriaville Northwest,Quebec,46.0828,-71.9728,Montréal-Trudeau Intl,YUL,153.1,"3,992.3",640.8,A,Quebec City QC (Old City),100.2,119.36,1.7063,Algonquin Park ON,497.9,614.61,8.5728,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G6V,Lévis North,Quebec,46.8033,-71.1779,Montréal-Trudeau Intl,YUL,246.9,"4,030.4",731.4,A,Quebec City QC (Old City),2.6,4.32,0.4662,Moncton NB,496.6,739.84,9.0987,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G6W,Lévis South,Quebec,46.7546,-71.2200,Montréal-Trudeau Intl,YUL,241.1,"4,028.7",725.7,A,Quebec City QC (Old City),6.7,23.01,0.4446,Moncton NB,499.2,746.26,9.1908,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G6X,Charny,Quebec,46.7151,-71.2612,Montréal-Trudeau Intl,YUL,236.0,"4,026.8",720.8,A,Quebec City QC (Old City),11.7,19.28,0.3748,Fundy NP NB,496.2,744.32,9.3374,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G6Y,Lévis,Quebec,46.8033,-71.1779,Montréal-Trudeau Intl,YUL,246.9,"4,030.4",731.4,A,Quebec City QC (Old City),2.6,4.32,0.4662,Moncton NB,496.6,739.84,9.0987,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G6Z,Saint-Jean-Chrysostome,Quebec,46.6901,-71.1849,Montréal-Trudeau Intl,YUL,239.3,"4,033.0",722.5,A,Quebec City QC (Old City),13.9,26.95,0.5076,Moncton NB,495.8,750.13,9.2654,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G7A,Saint-Nicolas,Quebec,46.6842,-71.3827,Montréal-Trudeau Intl,YUL,226.5,"4,018.7",712.9,A,Quebec City QC (Old City),19.6,27.9,0.4963,Kingston ON,482.4,523.96,6.6596,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G7B,La Baie,Quebec,48.3398,-70.8893,Quebec City Jean Lesage Intl,YQB,176.3,"4,012.0",868.0,A,Quebec City QC (Old City),171.3,221.25,2.9172,Ottawa ON,488.5,660.61,8.4386,965.5,859.4,"2,846.2",YVR,671.1,956.3
G7G,Chicoutimi North,Quebec,48.4450,-71.1025,Quebec City Jean Lesage Intl,YQB,185.2,"3,994.3",868.4,A,Quebec City QC (Old City),181.5,216.12,2.9036,Gaspé QC,488.4,907.07,12.604,965.5,859.4,"2,846.2",YVR,671.1,956.3
G7H,Chicoutimi East,Quebec,48.4187,-71.0417,Quebec City Jean Lesage Intl,YQB,182.9,"3,999.2",868.6,A,Quebec City QC (Old City),178.9,208.44,2.7696,Ottawa ON,485.7,647.8,8.2909,965.5,859.4,"2,846.2",YVR,671.1,956.3
G7J,Chicoutimi West,Quebec,48.4175,-71.1031,Quebec City Jean Lesage Intl,YQB,182.2,"3,994.9",866.0,A,Quebec City QC (Old City),178.5,209.03,2.7666,Gaspé QC,488.9,899.98,12.467,965.5,859.4,"2,846.2",YVR,671.1,956.3
G7K,Chicoutimi Southwest,Quebec,48.3689,-71.1175,Quebec City Jean Lesage Intl,YQB,176.7,"3,995.0",861.3,A,Quebec City QC (Old City),173.0,204.11,2.9434,Gaspé QC,490.7,895.06,12.6438,965.5,859.4,"2,846.2",YVR,671.1,956.3
G7N,Laterrière,Quebec,48.2007,-71.1426,Quebec City Jean Lesage Intl,YQB,157.9,"3,997.2",845.9,A,Quebec City QC (Old City),154.3,221.82,4.3616,Gaspé QC,495.6,912.77,14.062,965.5,859.4,"2,846.2",YVR,671.1,956.3
G7P,Saint-Ambroise,Quebec,48.5501,-71.3158,Quebec City Jean Lesage Intl,YQB,195.7,"3,976.7",869.3,A,Quebec City QC (Old City),193.2,236.24,3.2886,Ottawa ON,481.0,675.6,8.81,965.5,859.4,"2,846.2",YVR,671.1,956.3
G7S,Jonquière Northeast,Quebec,48.4294,-71.1774,Quebec City Jean Lesage Intl,YQB,182.9,"3,989.3",864.2,A,Quebec City QC (Old City),179.7,213.92,2.8378,Gaspé QC,494.1,904.88,12.5382,965.5,859.4,"2,846.2",YVR,671.1,956.3
G7T,Jonquière Southeast,Quebec,48.3975,-71.1527,Quebec City Jean Lesage Intl,YQB,179.5,"3,991.8",862.4,A,Quebec City QC (Old City),176.1,209.49,2.763,Gaspé QC,492.8,900.44,12.4634,965.5,859.4,"2,846.2",YVR,671.1,956.3
G7X,Jonquière Central,Quebec,48.3199,-71.4149,Quebec City Jean Lesage Intl,YQB,170.0,"3,974.9",845.5,A,Quebec City QC (Old City),168.2,232.28,3.4588,Ottawa ON,457.9,671.63,8.9802,965.5,859.4,"2,846.2",YVR,671.1,956.3
G7Y,Jonquière Southwest,Quebec,48.3701,-71.2358,Quebec City Jean Lesage Intl,YQB,176.0,"3,986.5",856.7,A,Quebec City QC (Old City),173.1,208.23,2.9599,Gaspé QC,499.3,899.19,12.6603,965.5,859.4,"2,846.2",YVR,671.1,956.3
G7Z,Jonquière Northwest,Quebec,48.4381,-71.2642,Quebec City Jean Lesage Intl,YQB,183.4,"3,982.9",861.5,A,Quebec City QC (Old City),180.7,218.41,2.9264,Ottawa ON,475.1,657.76,8.4478,965.5,859.4,"2,846.2",YVR,671.1,956.3
G8A,Jonquière West,Quebec,48.4233,-71.3629,Quebec City Jean Lesage Intl,YQB,181.5,"3,976.3",856.5,A,Quebec City QC (Old City),179.3,226.77,2.9469,Ottawa ON,468.6,666.12,8.4683,965.5,859.4,"2,846.2",YVR,671.1,956.3
G8B,Alma Southeast,Quebec,48.5548,-71.6730,Quebec City Jean Lesage Intl,YQB,197.2,"3,951.2",856.6,A,Quebec City QC (Old City),196.7,229.2,3.1422,Fredericton NB,476.4,820.29,10.5056,965.5,859.4,"2,846.2",YVR,671.1,956.3
G8C,Alma Southwest,Quebec,48.5278,-71.6364,Quebec City Jean Lesage Intl,YQB,194.0,"3,954.4",855.5,A,Quebec City QC (Old City),193.3,225.38,3.0697,Fredericton NB,472.5,816.48,10.4331,965.5,859.4,"2,846.2",YVR,671.1,956.3
G8E,Alma North,Quebec,48.6377,-71.6957,Quebec City Jean Lesage Intl,YQB,206.6,"3,947.7",863.2,A,Quebec City QC (Old City),206.0,242.23,3.3592,Fredericton NB,483.1,833.32,10.7226,965.5,859.4,"2,846.2",YVR,671.1,956.3
G8G,Métabetchouan-Lac-a-la-Croix,Quebec,47.8076,-71.5907,Quebec City Jean Lesage Intl,YQB,114.0,"3,974.6",794.6,A,Quebec City QC (Old City),114.2,163.84,2.4879,Sept-Îles QC,472.0,662.14,8.8767,965.5,859.4,"2,846.2",YVR,671.1,956.3
G8H,Roberval,Quebec,48.5168,-72.2324,Quebec City Jean Lesage Intl,YQB,201.9,"3,912.2",833.7,A,Quebec City QC (Old City),204.3,258.61,3.6141,Bathurst NB,499.0,824.72,11.4224,965.5,859.4,"2,846.2",YVR,671.1,956.3
G8J,Saint-Prime,Quebec,48.5834,-72.3324,Quebec City Jean Lesage Intl,YQB,211.3,"3,903.6",836.5,A,Quebec City QC (Old City),214.0,269.71,3.7831,Sept-Îles QC,475.2,664.54,8.775,965.5,859.4,"2,846.2",YVR,671.1,956.3
G8K,Saint-Félicien,Quebec,48.6501,-72.4491,Quebec City Jean Lesage Intl,YQB,221.3,"3,893.9",838.9,A,Quebec City QC (Old City),224.3,281.76,3.9973,Sept-Îles QC,479.9,676.59,8.9891,965.5,859.4,"2,846.2",YVR,671.1,956.3
G8L,Dolbeau-Mistassini,Quebec,48.8763,-72.2120,Quebec City Jean Lesage Intl,YQB,239.8,"3,905.9",867.4,A,Quebec City QC (Old City),241.2,310.89,4.4481,Ottawa ON,465.8,673.71,9.6441,965.5,859.4,"2,846.2",YVR,671.1,956.3
G8M,Albanel,Quebec,48.8832,-72.4487,Quebec City Jean Lesage Intl,YQB,245.6,"3,889.0",860.6,A,Quebec City QC (Old City),248.0,317.02,4.5585,Sept-Îles QC,470.1,694.15,9.2751,965.5,859.4,"2,846.2",YVR,671.1,956.3
G8N,Hébertville,Quebec,48.3473,-71.6786,Quebec City Jean Lesage Intl,YQB,174.4,"3,955.5",838.0,A,Quebec City QC (Old City),174.1,202.84,2.7203,Fredericton NB,463.8,793.94,10.0838,965.5,859.4,"2,846.2",YVR,671.1,956.3
G8P,Chibougamau,Quebec,49.9168,-74.3659,Bagotville Airport,YBG,302.0,"3,735.1",916.5,A,Quebec City QC (Old City),416.4,514.17,7.5659,Montreal QC,494.6,694.8,10.4374,"1,159.6",774.9,"2,200.3",YVR,934.3,956.2
G8T,Cap-de-la-Madeleine Central and southeast,Quebec,46.3877,-72.5357,Montréal-Trudeau Intl,YUL,138.1,"3,942.5",639.9,A,Quebec City QC (Old City),111.9,122.86,1.6256,Campbellton / Restigouche NB,477.7,625.62,8.3516,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G8V,Cap-de-la-Madeleine Northeast,Quebec,46.4098,-72.4908,Montréal-Trudeau Intl,YUL,142.3,"3,945.2",643.5,A,Quebec City QC (Old City),107.8,122.5,1.7309,Campbellton / Restigouche NB,473.5,625.27,8.4569,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G8W,Cap-de-la-Madeleine West,Quebec,46.4176,-72.6372,Montréal-Trudeau Intl,YUL,135.5,"3,934.3",638.2,A,Quebec City QC (Old City),117.7,133.69,1.8803,Campbellton / Restigouche NB,483.4,636.46,8.6063,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G8Y,Trois-Rivières Central,Quebec,46.3668,-72.6168,Montréal-Trudeau Intl,YUL,132.2,"3,937.1",634.9,A,Quebec City QC (Old City),118.6,132.98,1.844,Campbellton / Restigouche NB,484.3,635.75,8.57,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G8Z,Trois-Rivières Northeast,Quebec,46.3458,-72.5716,Montréal-Trudeau Intl,YUL,132.9,"3,941.0",635.1,A,Quebec City QC (Old City),116.5,130.68,1.7689,Campbellton / Restigouche NB,482.1,633.45,8.4949,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G9A,Trois-Rivières East,Quebec,46.3695,-72.6789,Montréal-Trudeau Intl,YUL,129.4,"3,932.5",632.7,A,Quebec City QC (Old City),122.8,143.1,2.0072,Peterborough ON,496.7,596.33,7.7436,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G9B,Trois-Rivières South,Quebec,46.3160,-72.6833,Montréal-Trudeau Intl,YUL,124.6,"3,933.6",628.2,A,Quebec City QC (Old City),125.6,142.78,1.9069,Peterborough ON,493.9,585.94,7.4956,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G9C,Trois-Rivières West,Quebec,46.3922,-72.6725,Montréal-Trudeau Intl,YUL,131.6,"3,932.4",634.7,A,Quebec City QC (Old City),121.3,137.66,1.9608,Peterborough ON,498.2,599.3,7.738,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G9H,Becancour,Quebec,46.3334,-72.4324,Montréal-Trudeau Intl,YUL,139.5,"3,951.6",639.9,A,Quebec City QC (Old City),107.8,148.09,1.9919,Miramichi NB,498.4,681.96,10.0242,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G9N,Shawinigan Central,Quebec,46.5564,-72.7198,Montréal-Trudeau Intl,YUL,144.2,"3,924.5",646.1,A,Quebec City QC (Old City),118.8,144.56,2.121,Campbellton / Restigouche NB,483.4,647.33,8.847,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G9P,Shawinigan Southeast,Quebec,46.5068,-72.7436,Montréal-Trudeau Intl,YUL,138.6,"3,924.1",641.1,A,Quebec City QC (Old City),122.0,144.42,2.0551,Peterborough ON,499.0,624.47,8.0932,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G9R,Shawinigan Northwest,Quebec,46.6098,-72.8266,Montréal-Trudeau Intl,YUL,145.0,"3,915.3",646.3,A,Quebec City QC (Old City),125.5,150.25,2.1814,Peterborough ON,498.8,628.82,8.0899,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G9T,Grand-Mère,Quebec,46.6315,-72.7370,Montréal-Trudeau Intl,YUL,150.5,"3,921.3",651.5,A,Quebec City QC (Old City),118.3,142.26,2.0762,Campbellton / Restigouche NB,481.6,645.03,8.8021,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G9X,La Tuque,Quebec,47.4334,-72.7824,Montréal-Trudeau Intl,YUL,230.3,"3,897.7",718.0,A,Quebec City QC (Old City),137.6,239.2,3.6117,Fredericton NB,495.7,815.39,10.7509,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H0M,Akwesasne Region (Akwesasne),Quebec,45.6986,-73.5025,Montréal-Trudeau Intl,YUL,31.4,"3,890.2",548.1,A,Quebec City QC (Old City),215.6,243.74,3.2185,North Bay ON,465.1,569.44,7.5649,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1A,Pointe-Aux-Trembles,Quebec,45.6753,-73.5016,Montréal-Trudeau Intl,YUL,29.4,"3,890.9",546.3,A,Quebec City QC (Old City),217.1,247.38,3.2447,North Bay ON,465.6,566.93,7.5734,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1B,Montreal East,Quebec,45.6320,-73.5075,Montréal-Trudeau Intl,YUL,25.5,"3,891.7",542.8,A,Quebec City QC (Old City),220.3,250.14,3.2743,North Bay ON,466.1,564.68,7.5217,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1C,Rivière-des-Prairies Northeast,Quebec,45.6656,-73.5367,Montréal-Trudeau Intl,YUL,26.9,"3,888.6",544.3,A,Quebec City QC (Old City),219.9,249.81,3.2855,North Bay ON,463.1,565.48,7.5527,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1E,Rivière-Des-Prairies Southwest,Quebec,45.6342,-73.5842,Montréal-Trudeau Intl,YUL,21.9,"3,886.0",540.1,A,Quebec City QC (Old City),225.0,253.32,3.3696,Barrie ON,499.4,633.39,7.8143,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1G,Montreal North North,Quebec,45.6109,-73.6211,Montréal-Trudeau Intl,YUL,18.2,"3,883.9",537.0,A,Quebec City QC (Old City),228.8,252.53,3.3701,Barrie ON,496.0,629.76,7.7538,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1H,Montreal North South,Quebec,45.5899,-73.6389,Montréal-Trudeau Intl,YUL,15.5,"3,883.2",534.7,A,Quebec City QC (Old City),231.3,255.46,3.4517,Barrie ON,494.1,627.7,7.7122,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1J,Anjou West,Quebec,45.6097,-73.5794,Montréal-Trudeau Intl,YUL,19.9,"3,887.0",538.4,A,Quebec City QC (Old City),226.3,248.97,3.2744,Barrie ON,499.1,629.75,7.7079,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1K,Anjou East,Quebec,45.6097,-73.5472,Montréal-Trudeau Intl,YUL,21.6,"3,889.4",539.6,A,Quebec City QC (Old City),224.3,247.72,3.2795,North Bay ON,463.6,559.87,7.449,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1L,Mercier North,Quebec,45.6043,-73.5178,Montréal-Trudeau Intl,YUL,22.9,"3,891.7",540.3,A,Quebec City QC (Old City),222.9,247.92,3.2985,North Bay ON,465.9,562.38,7.5388,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1M,Mercier West,Quebec,45.5883,-73.5572,Montréal-Trudeau Intl,YUL,19.4,"3,889.3",537.6,A,Quebec City QC (Old City),226.4,247.5,3.2766,North Bay ON,463.3,557.54,7.4215,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1N,Mercier Southeast,Quebec,45.5779,-73.5304,Montréal-Trudeau Intl,YUL,20.3,"3,891.5",537.8,A,Quebec City QC (Old City),225.5,247.2,3.2489,North Bay ON,465.6,560.08,7.4983,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1P,Saint-Léonard North,Quebec,45.5966,-73.5928,Montréal-Trudeau Intl,YUL,18.1,"3,886.4",536.9,A,Quebec City QC (Old City),228.0,250.39,3.3238,Barrie ON,497.8,628.17,7.6982,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1R,Saint-Léonard West,Quebec,45.5864,-73.6082,Montréal-Trudeau Intl,YUL,16.5,"3,885.5",535.6,A,Quebec City QC (Old City),229.7,252.55,3.3756,Barrie ON,496.3,626.47,7.6772,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1S,Saint-Léonard Southeast,Quebec,45.5808,-73.5825,Montréal-Trudeau Intl,YUL,17.4,"3,887.6",536.1,A,Quebec City QC (Old City),228.4,250.98,3.3245,Barrie ON,498.2,626.22,7.6609,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1T,Rosemont North,Quebec,45.5730,-73.5701,Montréal-Trudeau Intl,YUL,17.5,"3,888.7",536.0,A,Quebec City QC (Old City),228.2,249.46,3.3431,Barrie ON,498.9,627.04,7.7098,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1V,Maisonneuve,Quebec,45.5585,-73.5386,Montréal-Trudeau Intl,YUL,18.5,"3,891.5",536.0,A,Quebec City QC (Old City),227.3,248,3.2851,North Bay ON,465.4,558.63,7.4852,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1W,Hochelaga,Quebec,45.5442,-73.5468,Montréal-Trudeau Intl,YUL,17.2,"3,891.3",534.7,A,Quebec City QC (Old City),228.8,249.96,3.3541,Barrie ON,499.9,625.64,7.7602,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1X,Rosemont Central,Quebec,45.5583,-73.5701,Montréal-Trudeau Intl,YUL,16.5,"3,889.2",534.8,A,Quebec City QC (Old City),229.2,250.44,3.3539,Barrie ON,498.5,627.09,7.7005,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1Y,Rosemont South,Quebec,45.5486,-73.5788,Montréal-Trudeau Intl,YUL,15.3,"3,888.8",533.8,A,Quebec City QC (Old City),230.4,251.9,3.4122,Barrie ON,497.6,626.06,7.702,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H1Z,Saint-Michel West,Quebec,45.5694,-73.6221,Montréal-Trudeau Intl,YUL,14.4,"3,885.0",533.7,A,Quebec City QC (Old City),231.7,255.01,3.419,Barrie ON,494.9,624.68,7.6491,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H2A,Saint-Michel East,Quebec,45.5618,-73.5990,Montréal-Trudeau Intl,YUL,15.0,"3,886.9",534.0,A,Quebec City QC (Old City),230.8,253.69,3.3739,Barrie ON,496.4,623.65,7.6155,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H2B,Ahuntsic North,Quebec,45.5741,-73.6507,Montréal-Trudeau Intl,YUL,13.5,"3,882.7",533.1,A,Quebec City QC (Old City),233.1,257.27,3.504,Barrie ON,492.8,625.4,7.6956,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H2C,Ahuntsic Central,Quebec,45.5606,-73.6584,Montréal-Trudeau Intl,YUL,11.9,"3,882.5",531.7,A,Quebec City QC (Old City),234.5,258.44,3.4937,Barrie ON,491.9,622.7,7.6427,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H2E,Villeray Northeast,Quebec,45.5514,-73.6116,Montréal-Trudeau Intl,YUL,13.5,"3,886.3",532.8,A,Quebec City QC (Old City),232.2,255.31,3.4258,Barrie ON,495.2,622.87,7.6194,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H2G,Petite-Patrie Northeast,Quebec,45.5438,-73.5927,Montréal-Trudeau Intl,YUL,14.1,"3,887.9",532.9,A,Quebec City QC (Old City),231.6,256.13,3.4569,Barrie ON,496.4,624.25,7.6669,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H2H,Plateau Mont-Royal North,Quebec,45.5374,-73.5735,Montréal-Trudeau Intl,YUL,15.0,"3,889.5",533.1,A,Quebec City QC (Old City),230.9,253.14,3.4038,Barrie ON,497.8,626.39,7.7438,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H2J,Plateau Mont-Royal North Central,Quebec,45.5302,-73.5831,Montréal-Trudeau Intl,YUL,14.0,"3,889.0",532.2,A,Quebec City QC (Old City),232.0,253.56,3.4196,Barrie ON,496.8,625.15,7.737,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H2K,Centre-Sud North,Quebec,45.5307,-73.5547,Montréal-Trudeau Intl,YUL,16.0,"3,891.1",533.3,A,Quebec City QC (Old City),230.2,251.99,3.3667,Barrie ON,499.0,624.25,7.7161,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H2L,Centre-Sud South,Quebec,45.5186,-73.5545,Montréal-Trudeau Intl,YUL,15.5,"3,891.4",532.4,A,Quebec City QC (Old City),231.1,252.17,3.3639,Barrie ON,498.7,622.21,7.6772,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H2M,Ahuntsic East,Quebec,45.5528,-73.6411,Montréal-Trudeau Intl,YUL,12.0,"3,884.0",531.8,A,Quebec City QC (Old City),234.0,256.57,3.4353,Barrie ON,493.0,620.9,7.5875,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H2N,Ahuntsic Southeast,Quebec,45.5394,-73.6513,Montréal-Trudeau Intl,YUL,10.4,"3,883.7",530.4,A,Quebec City QC (Old City),235.5,258.41,3.46,Toronto ON,499.8,541.91,6.6141,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
H2P,Villeray West,Quebec,45.5435,-73.6339,Montréal-Trudeau Intl,YUL,11.6,"3,884.8",531.3,A,Quebec City QC (Old City),234.1,256.71,3.4334,Barrie ON,493.3,620.09,7.565,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
